"country","date","polity2","repress","groups","exclgrps","exclpop","activity","lngdppc","lnpop","grievSentL1","activityL1","allL1","relevantL1"
"Botswana",2014-09-01,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,NA,NA,NA,NA
"Botswana",2014-09-02,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.410639927575115,0,11.1865441433792,6.74641212857337
"Botswana",2014-09-03,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.460515489473462,0,11.10437058844,6.2803958389602
"Botswana",2014-09-04,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.435899052363527,0,11.0638532374797,6.70073110954781
"Botswana",2014-09-05,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.447277625854327,0,11.0183012205422,6.41836493593621
"Botswana",2014-09-06,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.425853504420196,0,10.9617811922066,6.91968384984741
"Botswana",2014-09-07,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.425590663290475,0,11.0426818069199,6.2709884318583
"Botswana",2014-09-08,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.42321115405027,0,11.0828653645067,5.97635090929793
"Botswana",2014-09-09,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.44172171479185,0,11.0365978816118,6.3578422665081
"Botswana",2014-09-10,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.458718202521608,0,10.988423410388,6.53958595561767
"Botswana",2014-09-11,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.431908069367502,0,11.014127221417,6.70073110954781
"Botswana",2014-09-12,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.445078483362551,0,11.0061914591075,6.80128303447162
"Botswana",2014-09-13,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.455132983170379,0,10.9145246689483,6.57507584059962
"Botswana",2014-09-14,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.447387539971174,0,10.9077342151685,6.36818718635049
"Botswana",2014-09-15,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.420459991377428,0,10.9994463237387,7.09837563859079
"Botswana",2014-09-16,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.461494940839859,0,10.8999748264046,6.63725803128446
"Botswana",2014-09-17,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.47573369165376,0,11.0321601358004,6.63856778916652
"Botswana",2014-09-18,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.453738750817997,0,10.9239400818925,6.18826412308259
"Botswana",2014-09-19,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.440119957371737,0,10.8482102384045,6.20253551718792
"Botswana",2014-09-20,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.446227204766105,0,10.8804405525769,6.36990098282823
"Botswana",2014-09-21,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.449979205558587,0,11.0769135166717,7.61283103040736
"Botswana",2014-09-22,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.424830486783248,0,11.0979704699883,6.18208490671663
"Botswana",2014-09-23,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.450189978950643,0,10.8653824262153,6.27852142416584
"Botswana",2014-09-24,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.428277551463824,0,10.9175944126106,6.60800062529609
"Botswana",2014-09-25,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.444447315442265,0,11.0256210362456,6.46614472423762
"Botswana",2014-09-26,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.445400099119918,0,10.9404371808121,6.31716468674728
"Botswana",2014-09-27,8,3,1,1,0.0199999995529652,1,8.87548952052491,14.6129898255305,0.415592829490739,0,10.9233271600388,6.51767127291227
"Botswana",2014-09-28,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.4345426731472,1,10.8600177092698,6.42162226780652
"Botswana",2014-09-29,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.437608449948875,0,11.0067556527404,6.09356977004514
"Botswana",2014-09-30,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.454483443830066,0,10.967266821364,6.31354804627709
"Botswana",2014-10-01,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.430764544591205,0,10.9422436740509,6.51471269087253
"Botswana",2014-10-02,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.433893818214628,0,10.9599053775011,6.19440539110467
"Botswana",2014-10-03,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.44244846704993,0,10.9144882841426,6.46146817635372
"Botswana",2014-10-04,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.474478545581554,0,10.9323209465963,6.88857245956536
"Botswana",2014-10-05,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.436479095685467,0,10.9089789298686,6.47850964220857
"Botswana",2014-10-06,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.427084221028081,0,11.0619084438931,7.36454701425564
"Botswana",2014-10-07,8,3,1,1,0.0199999995529652,0,8.87548952052491,14.6129898255305,0.438949645139776,0,10.8729967245151,6.48920493132532
