protectionist,age,female,TUmember,partyid,ideology,schooling
1,60,0,0,5,1,16
1,74,0,1,2,0,14
0,62,1,0,0,2,17
1,65,1,0,6,1,17
0,38,0,0,5,0,15
0,38,0,0,6,0,16
0,45,0,0,2,2,14
0,49,1,0,3,0,17
0,54,0,0,6,0,16
1,36,1,0,1,0,12
0,48,0,0,1,2,16
0,41,1,0,1,2,16
1,76,1,0,2,2,14
1,75,0,0,1,0,12
0,61,0,0,4,0,17
0,46,0,0,4,0,17
0,44,1,0,0,2,17
0,85,0,0,5,0,9
1,65,1,0,6,0,13
1,47,1,1,0,2,12
1,76,0,0,2,0,12
0,53,1,0,0,2,12
1,59,0,0,1,0,14
0,39,0,0,6,0,17
0,46,1,0,0,2,13
1,53,1,0,1,2,12
1,42,0,0,6,0,13
0,36,1,0,3,2,16
1,30,0,0,4,0,13
1,41,0,1,0,1,12
1,64,0,0,5,0,17
1,26,1,0,2,0,14
1,47,0,0,1,0,8
0,67,1,0,5,0,16
0,43,0,0,4,2,16
0,84,1,0,0,2,16
1,63,0,0,6,0,17
0,43,0,0,4,0,13
1,23,1,0,3,1,12
0,34,1,0,3,1,12
1,73,1,0,4,0,13
1,30,1,0,5,0,14
0,39,0,0,6,0,10
0,32,1,0,6,0,12
1,68,0,0,1,0,12
0,52,0,0,4,0,12
0,44,0,1,1,2,12
1,65,1,0,1,0,15
1,41,1,0,1,0,10
1,87,1,0,0,0,12
0,88,1,0,5,0,6
1,62,1,0,5,0,10
1,88,1,0,0,1,9
1,48,1,0,4,2,8
1,70,0,0,5,0,15
1,30,1,0,1,2,16
1,61,0,0,5,0,16
1,27,0,0,1,2,16
1,44,0,0,0,2,14
1,48,0,0,5,0,11
1,43,1,0,2,2,16
1,23,1,0,0,2,14
0,46,1,0,0,0,16
1,51,1,0,5,0,17
0,45,0,0,1,2,16
0,27,0,0,2,2,17
0,41,1,0,1,2,12
1,35,1,0,5,1,14
1,36,1,0,2,0,12
0,46,0,0,4,0,16
1,40,1,0,1,2,14
1,35,0,0,4,0,17
0,43,0,1,2,2,17
1,75,1,0,3,2,13
1,31,1,0,1,0,13
0,55,0,0,1,0,8
1,56,0,1,1,2,17
1,70,1,0,0,2,16
1,33,0,0,1,1,12
0,66,1,0,5,1,12
1,39,0,0,6,0,12
0,69,0,0,4,0,17
0,47,0,0,5,0,16
0,25,0,0,2,0,15
1,50,0,0,1,0,10
1,56,1,0,4,0,12
0,39,0,0,0,2,14
1,67,0,0,6,0,11
1,28,0,0,2,0,12
0,40,0,0,1,0,16
0,63,0,0,3,2,11
1,38,1,0,4,0,10
1,46,1,0,1,0,12
1,31,1,0,0,2,14
0,87,0,0,6,0,17
0,35,1,0,0,2,17
1,45,0,0,6,0,16
0,61,0,0,0,2,17
0,37,0,0,6,0,16
0,40,0,0,3,1,12
0,36,0,0,1,2,17
1,33,0,1,6,2,16
1,74,1,0,5,0,12
1,74,1,0,5,0,12
1,50,1,0,3,1,12
0,52,0,1,4,2,17
0,28,0,0,4,0,15
0,34,0,1,4,0,13
1,50,0,0,1,2,17
0,20,0,0,4,0,13
1,74,1,0,0,2,9
0,47,0,0,0,2,17
0,60,0,0,6,0,17
0,85,0,0,5,0,12
1,59,1,0,6,0,8
1,50,1,1,1,2,16
0,25,0,1,5,2,14
1,29,0,1,0,0,12
1,55,1,1,0,2,12
0,32,0,0,4,0,14
1,40,0,0,3,0,12
0,35,0,1,4,0,16
1,32,1,0,1,0,12
0,41,0,0,6,0,16
0,56,0,0,6,0,12
1,21,0,0,1,0,14
0,83,1,0,2,0,16
1,50,0,0,1,2,16
0,41,1,0,5,1,17
1,44,0,0,4,0,17
1,88,1,0,4,0,14
0,49,0,0,6,0,13
0,39,0,0,4,0,17
0,89,0,0,4,0,17
1,48,1,0,3,0,17
1,55,1,0,1,2,12
0,51,1,0,6,0,17
0,73,0,0,4,0,17
0,78,0,0,0,2,12
0,45,0,1,0,2,17
1,61,1,0,0,2,6
0,73,1,0,2,2,9
0,31,0,0,6,0,14
1,39,0,0,1,2,13
0,72,0,0,4,0,16
0,53,0,0,5,0,17
1,70,1,0,2,2,12
0,76,1,0,1,0,16
0,33,1,0,2,0,17
0,40,1,0,3,2,15
1,53,1,0,5,1,12
1,87,1,0,6,0,12
0,26,0,0,6,0,16
1,35,0,0,1,0,12
0,43,0,0,2,0,16
0,44,0,0,5,0,16
0,50,0,1,4,0,16
0,72,0,1,0,0,11
0,43,0,0,2,0,17
1,56,0,1,4,0,12
1,43,1,0,1,0,12
1,31,1,0,4,2,11
0,36,0,0,4,0,17
0,39,1,1,0,2,15
1,33,0,1,1,2,15
1,57,1,0,0,0,15
1,74,0,1,0,0,6
0,39,0,0,0,2,16
0,46,0,1,2,1,12
1,62,0,0,1,0,12
0,47,0,0,5,0,12
1,84,0,0,5,0,12
1,53,0,0,0,2,8
0,35,1,0,6,0,16
0,65,0,0,4,0,14
0,37,1,0,4,2,16
0,46,1,1,3,0,14
1,63,1,0,3,0,14
0,28,0,0,4,0,17
0,54,0,0,0,2,17
1,75,0,0,0,2,15
0,45,0,0,4,0,14
0,73,1,0,2,0,16
0,30,1,0,5,0,14
0,65,0,0,4,0,12
0,37,0,0,1,1,12
1,56,0,1,4,0,17
0,45,0,0,5,0,14
0,70,0,0,0,0,12
1,26,1,0,5,0,14
1,49,1,0,3,1,13
1,62,0,1,1,1,11
0,75,1,0,2,0,14
1,22,0,0,6,1,12
1,42,0,0,0,0,17
1,59,1,0,4,0,14
0,35,1,0,5,0,12
0,34,0,0,0,2,14
0,26,0,0,5,0,15
